frame_id,timestamp,face_found,ear,ear_left,ear_right,mar,yaw,pitch,roll,nose_offset_x,nose_offset_y,face_ratio,blink_left,blink_right,blink,jaw_open,mouth_close,face_scale,phone_conf,phone_x,phone_y,phone_w,phone_h,phone_fresh
0,0.0,1,0.37615,0.41513,0.33717,0.00945,-16.65184,-5.12579,18.99022,-0.10277,0.42445,1.15995,0.01004,0.00325,0.00665,0.00055,3e-05,73.01173,0.0,0.0,0.0,0.0,0.0,1
1,0.05,1,0.35881,0.38901,0.32861,0.00572,-16.46149,-4.79924,18.43581,-0.0963,0.43077,1.21733,0.01705,0.01163,0.01434,0.00068,4e-05,71.7187,0.0,0.0,0.0,0.0,0.0,0
2,0.1,1,0.35853,0.38937,0.3277,0.00435,-15.9057,-5.13184,18.16939,-0.09331,0.42331,1.22685,0.02064,0.0136,0.01712,0.00047,2e-05,72.11664,0.0,0.0,0.0,0.0,0.0,0
3,0.15,1,0.35877,0.39046,0.32708,0.00413,-16.00438,-5.05968,17.97113,-0.09785,0.42626,1.22888,0.02588,0.01579,0.02083,0.00039,2e-05,71.7689,0.0,0.0,0.0,0.0,0.0,0
4,0.2,1,0.38185,0.42387,0.33983,0.00916,-19.4945,-6.56351,18.18851,-0.15627,0.44755,1.24276,0.02114,0.01258,0.01686,0.00018,1e-05,69.41737,0.0,0.0,0.0,0.0,0.0,0
5,0.25,1,0.39948,0.45116,0.34781,0.00978,-21.03423,-7.4688,18.35922,-0.17839,0.44542,1.25592,0.01874,0.01002,0.01438,0.00014,1e-05,68.70197,0.0,0.0,0.0,0.0,0.0,1
6,0.3,1,0.4088,0.46064,0.35696,0.01706,-23.53718,-9.33121,19.76144,-0.21658,0.45214,1.29825,0.02602,0.02149,0.02375,0.00017,1e-05,65.3809,0.0,0.0,0.0,0.0,0.0,0
7,0.35,1,0.41295,0.46839,0.35751,0.01273,-25.05829,-10.9242,19.73154,-0.24504,0.44662,1.32513,0.02469,0.0216,0.02315,0.0002,1e-05,64.97363,0.0,0.0,0.0,0.0,0.0,0
8,0.4,1,0.43486,0.50885,0.36086,0.01163,-26.85707,-11.73644,20.47877,-0.28144,0.46534,1.36134,0.02292,0.01901,0.02096,0.00028,1e-05,62.45906,0.0,0.0,0.0,0.0,0.0,0
9,0.45,1,0.43233,0.50173,0.36292,0.01139,-27.3036,-12.01134,20.90525,-0.27914,0.46869,1.37066,0.02244,0.02023,0.02133,0.0003,1e-05,61.74446,0.0,0.0,0.0,0.0,0.0,0
10,0.5,1,0.42425,0.48708,0.36142,0.01004,-27.81779,-12.85247,21.48457,-0.28266,0.46628,1.38575,0.03339,0.03786,0.03562,0.00028,1e-05,60.83139,0.0,0.0,0.0,0.0,0.0,1
11,0.55,1,0.42956,0.49221,0.3669,0.00793,-28.1216,-12.94336,21.53074,-0.27903,0.46376,1.42619,0.03085,0.03543,0.03314,0.00019,1e-05,61.33207,0.0,0.0,0.0,0.0,0.0,0
12,0.6,1,0.41863,0.4811,0.35616,0.01062,-27.66297,-13.90961,22.38677,-0.26659,0.45255,1.39214,0.04038,0.03745,0.03891,0.00015,0.0,61.29933,0.0,0.0,0.0,0.0,0.0,0
13,0.65,1,0.41122,0.47398,0.34845,0.01095,-27.59483,-14.33922,22.49567,-0.26804,0.44296,1.38346,0.05033,0.04366,0.047,0.00016,0.0,61.45633,0.0,0.0,0.0,0.0,0.0,0
