frame_id,timestamp,face_found,ear,ear_left,ear_right,mar,yaw,pitch,roll,nose_offset_x,nose_offset_y,face_ratio,blink_left,blink_right,blink,jaw_open,mouth_close,face_scale,phone_conf,phone_x,phone_y,phone_w,phone_h,phone_fresh
0,0.0,1,0.27293,0.2677,0.27817,0.00602,6.20886,-13.98961,0.83,0.06943,0.35454,1.17602,0.25285,0.15567,0.20426,0.00267,0.00038,67.15365,0.0,0.0,0.0,0.0,0.0,1
1,0.05,1,0.2689,0.26414,0.27366,0.00607,6.10852,-14.10543,0.77801,0.06657,0.35291,1.19568,0.27661,0.18394,0.23028,0.00272,0.00041,67.08113,0.0,0.0,0.0,0.0,0.0,0
2,0.1,1,0.26771,0.26364,0.27177,0.00664,6.10112,-14.12593,0.62614,0.06455,0.35281,1.22359,0.27808,0.19649,0.23729,0.0045,0.00094,67.14549,0.0,0.0,0.0,0.0,0.0,0
3,0.15,1,0.26242,0.26027,0.26458,0.02332,6.02066,-14.10213,0.55352,0.06211,0.35592,1.23291,0.26922,0.20514,0.23718,0.00627,0.00176,66.83102,0.0,0.0,0.0,0.0,0.0,0
4,0.2,1,0.26108,0.25846,0.2637,0.10297,5.92253,-14.17336,0.3304,0.05965,0.35765,1.24845,0.23759,0.22036,0.22897,0.03888,0.00573,66.57753,0.0,0.0,0.0,0.0,0.0,0
5,0.25,1,0.26005,0.25671,0.26339,0.15753,5.56926,-14.27651,0.25143,0.05797,0.3556,1.25029,0.22826,0.22501,0.22664,0.1234,0.01051,66.55906,0.0,0.0,0.0,0.0,0.0,1
6,0.3,1,0.02255,0.02049,0.02461,0.19263,5.42913,-15.54402,0.26671,0.06035,0.32214,1.25677,0.77649,0.74975,0.76312,0.14506,0.01518,66.37055,0.0,0.0,0.0,0.0,0.0,0
7,0.35,1,0.04121,0.04162,0.04079,0.23368,5.45052,-16.24755,-0.08709,0.06495,0.3058,1.263,0.82644,0.81745,0.82194,0.18173,0.01331,66.60375,0.0,0.0,0.0,0.0,0.0,0
8,0.4,1,0.04253,0.04782,0.03724,0.25857,5.91596,-16.87899,-0.29141,0.07308,0.30013,1.28344,0.80467,0.83292,0.8188,0.2038,0.02015,66.50095,0.0,0.0,0.0,0.0,0.0,0
9,0.45,1,0.03516,0.03702,0.0333,0.29093,5.99714,-17.28989,-0.60263,0.07443,0.29465,1.29262,0.79616,0.82691,0.81153,0.24706,0.02409,66.67228,0.0,0.0,0.0,0.0,0.0,0
10,0.5,1,0.04657,0.04189,0.05124,0.3087,5.96269,-17.52773,-0.7902,0.07007,0.29338,1.30784,0.81175,0.82692,0.81934,0.26612,0.0329,66.98519,0.0,0.0,0.0,0.0,0.0,1
11,0.55,1,0.05254,0.04276,0.06233,0.35686,5.87522,-17.65993,-0.82466,0.06655,0.29039,1.30956,0.82846,0.8265,0.82748,0.31799,0.02479,67.47667,0.0,0.0,0.0,0.0,0.0,0
12,0.6,1,0.05175,0.04057,0.06293,0.38685,5.92848,-17.66848,-0.9384,0.06558,0.28985,1.31777,0.82351,0.82069,0.8221,0.34172,0.02631,67.59527,0.0,0.0,0.0,0.0,0.0,0
13,0.65,1,0.04805,0.03844,0.05766,0.39464,6.01732,-17.64205,-0.95618,0.06516,0.28893,1.31768,0.81381,0.81347,0.81364,0.34733,0.02367,67.78589,0.0,0.0,0.0,0.0,0.0,0
14,0.7,1,0.04527,0.03963,0.0509,0.41894,5.96066,-17.56805,-1.04572,0.06197,0.29034,1.32061,0.80858,0.81167,0.81013,0.37863,0.0222,68.08672,0.0,0.0,0.0,0.0,0.0,0
15,0.75,1,0.04292,0.03884,0.047,0.43871,5.91404,-17.52063,-1.03072,0.05883,0.28931,1.32072,0.80419,0.81264,0.80842,0.39775,0.02018,68.50924,0.0,0.0,0.0,0.0,0.0,1
16,0.8,1,0.04055,0.03391,0.04719,0.45395,5.93722,-17.44301,-1.02268,0.05824,0.29035,1.32716,0.80567,0.8024,0.80404,0.41615,0.0205,68.7035,0.0,0.0,0.0,0.0,0.0,0
17,0.85,1,0.03977,0.03265,0.04689,0.47402,5.82093,-17.30246,-0.97998,0.05726,0.29262,1.32928,0.81031,0.79971,0.80501,0.4365,0.02024,68.8354,0.0,0.0,0.0,0.0,0.0,0
18,0.9,1,0.03596,0.02848,0.04344,0.48927,5.72414,-17.10444,-0.8439,0.05795,0.29571,1.33431,0.80283,0.78715,0.79499,0.45772,0.02101,68.79662,0.0,0.0,0.0,0.0,0.0,0
19,0.95,1,0.02508,0.01783,0.03234,0.50406,5.69292,-16.98233,-0.81477,0.0594,0.29921,1.33749,0.7849,0.76175,0.77332,0.47506,0.01874,68.56643,0.0,0.0,0.0,0.0,0.0,0
20,1.0,1,0.0257,0.02096,0.03044,0.52157,5.60058,-16.69811,-0.70144,0.06048,0.30196,1.34116,0.78119,0.76263,0.77191,0.49771,0.01822,68.53021,0.0,0.0,0.0,0.0,0.0,1
21,1.05,1,0.02098,0.0182,0.02376,0.55524,5.65386,-16.60294,-0.59093,0.06241,0.30674,1.34131,0.76744,0.7566,0.76202,0.53642,0.01488,68.40243,0.0,0.0,0.0,0.0,0.0,0
22,1.1,1,0.01967,0.01659,0.02276,0.57624,5.72227,-16.72092,-0.60963,0.06356,0.30618,1.33645,0.7568,0.75258,0.75469,0.56128,0.01192,68.24588,0.0,0.0,0.0,0.0,0.0,0
23,1.15,1,0.01961,0.01646,0.02276,0.5689,5.73856,-16.72356,-0.60263,0.0642,0.30458,1.33551,0.75809,0.75618,0.75714,0.55642,0.01205,68.24458,0.0,0.0,0.0,0.0,0.0,0
24,1.2,1,0.01863,0.01368,0.02358,0.57633,5.76386,-16.88809,-0.62641,0.0641,0.29415,1.33479,0.75092,0.74433,0.74762,0.56935,0.01198,68.25683,0.0,0.0,0.0,0.0,0.0,0
25,1.25,1,0.01836,0.01372,0.023,0.56964,5.77264,-16.80631,-0.56173,0.06343,0.29325,1.33444,0.75115,0.73951,0.74533,0.56484,0.01285,68.45338,0.0,0.0,0.0,0.0,0.0,1
26,1.3,1,0.01962,0.0182,0.02103,0.58556,5.80878,-16.76344,-0.57205,0.06288,0.29291,1.33597,0.76008,0.73548,0.74778,0.58741,0.01204,68.62867,0.0,0.0,0.0,0.0,0.0,0
27,1.35,1,0.02067,0.02194,0.0194,0.58277,5.93338,-16.66098,-0.7458,0.06147,0.28891,1.33574,0.75589,0.74225,0.74907,0.58705,0.01153,69.39958,0.0,0.0,0.0,0.0,0.0,0
28,1.4,1,0.02029,0.02375,0.01683,0.60492,6.06751,-16.38352,-0.88781,0.06166,0.2916,1.3321,0.74296,0.73878,0.74087,0.61332,0.00962,69.95578,0.0,0.0,0.0,0.0,0.0,0
29,1.45,1,0.01649,0.01618,0.01679,0.61239,6.00896,-16.39082,-0.74895,0.05996,0.29236,1.32949,0.7127,0.70894,0.71082,0.6281,0.00926,69.95669,0.0,0.0,0.0,0.0,0.0,0
30,1.5,1,0.02033,0.02198,0.01867,0.62873,6.329,-16.55991,-0.9083,0.06736,0.29471,1.32093,0.71039,0.71911,0.71475,0.64429,0.00816,69.58286,0.0,0.0,0.0,0.0,0.0,1
