frame_id,timestamp,face_found,ear,ear_left,ear_right,mar,yaw,pitch,roll,nose_offset_x,nose_offset_y,face_ratio,blink_left,blink_right,blink,jaw_open,mouth_close,face_scale,phone_conf,phone_x,phone_y,phone_w,phone_h,phone_fresh
0,0.0,1,0.0465,0.07603,0.01697,0.19669,-1.12419,9.54062,0.25111,-0.00637,0.47751,1.24692,0.70034,0.58094,0.64064,0.27571,0.01052,82.30881,0.0,0.0,0.0,0.0,0.0,1
1,0.05,1,0.04353,0.06265,0.02441,0.17395,-0.87896,10.10757,0.17386,-0.00067,0.49141,1.23495,0.68077,0.60646,0.64362,0.17995,0.00886,82.33491,0.0,0.0,0.0,0.0,0.0,0
2,0.1,1,0.04538,0.06171,0.02904,0.15602,1.29945,11.64873,0.69656,0.03808,0.49313,1.21222,0.68226,0.62493,0.65359,0.15341,0.01057,82.42279,0.0,0.0,0.0,0.0,0.0,0
3,0.15,1,0.04697,0.05985,0.03408,0.16067,1.54271,11.91503,0.83017,0.04216,0.49132,1.20158,0.66827,0.6126,0.64043,0.16132,0.01005,82.78812,0.0,0.0,0.0,0.0,0.0,0
4,0.2,1,0.0405,0.0469,0.0341,0.1516,2.69486,12.73261,1.34696,0.05803,0.485,1.18498,0.65262,0.6664,0.65951,0.17101,0.01432,82.35076,0.0,0.0,0.0,0.0,0.0,0
5,0.25,1,0.03857,0.04064,0.0365,0.11651,3.7414,13.74124,1.49654,0.06095,0.48678,1.17628,0.67806,0.66416,0.67111,0.09694,0.01485,82.68348,0.07436,213.0,161.0,55.0,136.0,1
6,0.3,1,0.04372,0.04344,0.044,0.02072,4.00659,14.86265,1.4458,0.04836,0.49849,1.16351,0.66872,0.66026,0.66449,0.0073,0.00434,82.47518,0.07436,213.0,161.0,55.0,136.0,0
7,0.35,1,0.04151,0.04123,0.04179,0.00431,4.06659,15.11297,1.53595,0.04884,0.49927,1.15771,0.66167,0.69765,0.67966,0.0047,0.00317,82.68077,0.07436,213.0,161.0,55.0,136.0,0
8,0.4,1,0.04339,0.04462,0.04216,0.01357,3.81955,15.7642,1.18171,0.04651,0.50239,1.14473,0.6392,0.65051,0.64486,0.00369,0.00188,82.56377,0.07436,213.0,161.0,55.0,136.0,0
9,0.45,1,0.043,0.04229,0.04371,0.01466,4.01999,15.78661,0.89497,0.05033,0.50338,1.14045,0.6422,0.66945,0.65582,0.00353,0.0015,83.13997,0.07436,213.0,161.0,55.0,136.0,0
10,0.5,1,0.04589,0.04621,0.04558,0.00472,4.77014,16.1956,0.68145,0.06417,0.50394,1.13468,0.63016,0.65673,0.64345,0.00216,0.00097,83.79821,0.1483,209.0,181.0,22.0,54.0,1
11,0.55,1,0.04378,0.04532,0.04224,0.00494,5.23789,16.38263,0.82538,0.07174,0.50356,1.12482,0.62846,0.67341,0.65093,0.00193,0.00086,82.9064,0.1483,209.0,181.0,22.0,54.0,0
12,0.6,1,0.03879,0.04194,0.03563,0.00692,5.61894,16.37314,0.89638,0.07533,0.49409,1.13582,0.64135,0.68358,0.66246,0.00213,0.00099,83.98427,0.1483,209.0,181.0,22.0,54.0,0
13,0.65,1,0.03827,0.04119,0.03534,0.01515,5.49769,16.26128,0.84592,0.0702,0.48955,1.13948,0.6447,0.67844,0.66157,0.00268,0.0012,84.64382,0.1483,209.0,181.0,22.0,54.0,0
