frame_id,timestamp,face_found,ear,ear_left,ear_right,mar,yaw,pitch,roll,nose_offset_x,nose_offset_y,face_ratio,blink_left,blink_right,blink,jaw_open,mouth_close,face_scale,phone_conf,phone_x,phone_y,phone_w,phone_h,phone_fresh
0,0.0,1,0.1397,0.11627,0.16313,0.00383,2.99985,-11.78106,1.05997,0.03307,0.34683,1.21083,0.50312,0.44107,0.47209,0.03865,0.01153,64.77851,0.0,0.0,0.0,0.0,0.0,1
1,0.05,1,0.13713,0.1147,0.15956,0.00324,3.07759,-11.4556,1.12654,0.03568,0.34823,1.21522,0.51281,0.44816,0.48049,0.03781,0.01134,64.66748,0.0,0.0,0.0,0.0,0.0,0
2,0.1,1,0.10395,0.09185,0.11605,0.00224,3.22282,-11.54339,1.1175,0.03715,0.34357,1.21529,0.6163,0.49463,0.55547,0.03674,0.00987,65.01241,0.0,0.0,0.0,0.0,0.0,0
3,0.15,1,0.08176,0.07473,0.08879,0.00186,3.18485,-11.61222,1.08725,0.03444,0.33764,1.2152,0.66828,0.54196,0.60512,0.03572,0.00894,65.76441,0.0,0.0,0.0,0.0,0.0,0
4,0.2,1,0.07916,0.07122,0.08709,0.00173,3.07492,-11.69535,1.08726,0.03376,0.3354,1.21906,0.6681,0.55505,0.61157,0.03491,0.00832,65.81359,0.0,0.0,0.0,0.0,0.0,0
5,0.25,1,0.07478,0.06707,0.08249,0.0016,3.08516,-11.70534,1.06764,0.03373,0.33341,1.21984,0.67783,0.57517,0.6265,0.03407,0.00782,65.90296,0.0,0.0,0.0,0.0,0.0,1
6,0.3,1,0.07266,0.06547,0.07984,0.00171,3.08488,-11.74029,1.04755,0.03288,0.33174,1.22071,0.68359,0.58546,0.63453,0.0331,0.0078,66.11974,0.0,0.0,0.0,0.0,0.0,0
7,0.35,1,0.07431,0.06405,0.08456,0.0018,3.03568,-11.71337,1.05752,0.03279,0.3303,1.22005,0.67655,0.59783,0.63719,0.0315,0.00755,66.11992,0.0,0.0,0.0,0.0,0.0,0
8,0.4,1,0.06991,0.05555,0.08428,0.00184,3.05114,-11.71375,1.09148,0.03318,0.32906,1.22052,0.67611,0.62746,0.65179,0.02921,0.007,66.12123,0.0,0.0,0.0,0.0,0.0,0
9,0.45,1,0.06845,0.05511,0.08179,0.00184,3.04604,-11.73577,1.12619,0.03341,0.32893,1.22092,0.68445,0.62968,0.65707,0.02875,0.0069,66.12069,0.0,0.0,0.0,0.0,0.0,0
10,0.5,1,0.06364,0.05135,0.07592,0.00202,3.03493,-11.66685,1.14179,0.03508,0.32829,1.21906,0.70026,0.63027,0.66526,0.02867,0.00695,66.01061,0.0,0.0,0.0,0.0,0.0,1
11,0.55,1,0.06183,0.0492,0.07445,0.00258,3.06049,-11.5823,1.15267,0.03604,0.32866,1.21705,0.69951,0.6319,0.66571,0.02787,0.00681,66.20888,0.0,0.0,0.0,0.0,0.0,0
12,0.6,1,0.05828,0.04729,0.06927,0.00293,3.08192,-11.57996,1.13794,0.03605,0.3267,1.21584,0.70922,0.6372,0.67321,0.02717,0.00645,66.45528,0.0,0.0,0.0,0.0,0.0,0
13,0.65,1,0.05851,0.04804,0.06899,0.00282,3.06923,-11.65467,1.18738,0.03641,0.32611,1.21749,0.71079,0.6378,0.6743,0.02748,0.00656,66.48449,0.0,0.0,0.0,0.0,0.0,0
14,0.7,1,0.05727,0.04325,0.07128,0.00293,3.01145,-11.84994,1.26819,0.03802,0.32291,1.21839,0.71187,0.6498,0.68084,0.02724,0.00616,66.59982,0.0,0.0,0.0,0.0,0.0,0
15,0.75,1,0.05681,0.04344,0.07018,0.00303,2.97538,-11.82613,1.27043,0.03789,0.32111,1.21771,0.71787,0.64789,0.68288,0.02666,0.00598,66.71089,0.0,0.0,0.0,0.0,0.0,1
16,0.8,1,0.06145,0.04716,0.07574,0.00304,2.96525,-11.86946,1.22617,0.03769,0.32042,1.21669,0.711,0.64352,0.67726,0.02655,0.00582,66.64695,0.0,0.0,0.0,0.0,0.0,0
17,0.85,1,0.06179,0.04743,0.07615,0.00312,2.94205,-11.86435,1.19327,0.03709,0.31878,1.21606,0.71334,0.64839,0.68087,0.02543,0.00541,66.77015,0.0,0.0,0.0,0.0,0.0,0
18,0.9,1,0.06373,0.05117,0.07629,0.00304,2.97549,-11.80143,1.18692,0.03805,0.32028,1.21647,0.71376,0.64852,0.68114,0.02473,0.0049,66.81807,0.0,0.0,0.0,0.0,0.0,0
19,0.95,1,0.05839,0.05199,0.06479,0.00361,2.95652,-11.74948,1.12992,0.0361,0.31929,1.215,0.73452,0.64891,0.69171,0.02465,0.00454,67.26318,0.0,0.0,0.0,0.0,0.0,0
20,1.0,1,0.04991,0.04754,0.05227,0.00219,3.12197,-11.61662,1.04846,0.04024,0.31697,1.21716,0.75912,0.66983,0.71448,0.02072,0.00345,67.8606,0.0,0.0,0.0,0.0,0.0,1
21,1.05,1,0.05115,0.04672,0.05558,0.00188,3.35206,-11.35211,1.00072,0.04643,0.32061,1.2177,0.75335,0.66657,0.70996,0.01943,0.00313,67.9028,0.0,0.0,0.0,0.0,0.0,0
22,1.1,1,0.05824,0.04757,0.06891,0.00194,3.32442,-11.33583,0.95274,0.04495,0.32238,1.21721,0.74038,0.6648,0.70259,0.02116,0.00386,67.42535,0.0,0.0,0.0,0.0,0.0,0
23,1.15,1,0.06721,0.0527,0.08171,0.0019,3.4229,-11.40209,0.86442,0.04753,0.32106,1.21728,0.72523,0.65705,0.69114,0.01948,0.00364,67.29725,0.0,0.0,0.0,0.0,0.0,0
24,1.2,1,0.06512,0.05209,0.07815,0.00188,3.45745,-11.29765,0.78148,0.04359,0.3247,1.21631,0.72606,0.65304,0.68955,0.02018,0.00387,67.16211,0.0,0.0,0.0,0.0,0.0,0
25,1.25,1,0.0675,0.05517,0.07984,0.00191,3.48058,-11.3182,0.74111,0.04191,0.32811,1.21669,0.71791,0.64536,0.68164,0.0226,0.00448,66.75724,0.0,0.0,0.0,0.0,0.0,1
26,1.3,1,0.06692,0.05431,0.07952,0.00145,3.47838,-11.35403,0.71821,0.04202,0.32746,1.21865,0.71471,0.64621,0.68046,0.02178,0.0045,66.77523,0.0,0.0,0.0,0.0,0.0,0
27,1.35,1,0.06176,0.05487,0.06866,0.0012,3.483,-11.34468,0.68595,0.04194,0.32602,1.21735,0.73653,0.64604,0.69129,0.02095,0.00426,66.83538,0.0,0.0,0.0,0.0,0.0,0
28,1.4,1,0.06038,0.05389,0.06687,0.00144,3.4537,-11.08582,0.75341,0.04146,0.32795,1.21962,0.73361,0.66068,0.69714,0.02166,0.00413,66.91195,0.0,0.0,0.0,0.0,0.0,0
29,1.45,1,0.06162,0.05346,0.06977,0.00177,3.32135,-10.98609,0.76889,0.03643,0.32768,1.21825,0.7276,0.66616,0.69688,0.02311,0.00423,66.94448,0.0,0.0,0.0,0.0,0.0,0
30,1.5,1,0.0617,0.05436,0.06905,0.00229,3.25407,-10.78644,0.87124,0.03522,0.32891,1.21526,0.72509,0.6731,0.6991,0.02394,0.00412,67.04043,0.0,0.0,0.0,0.0,0.0,1
31,1.55,1,0.05926,0.04982,0.06869,0.00266,3.2242,-10.59719,0.91489,0.03517,0.3327,1.21841,0.71999,0.67127,0.69563,0.02508,0.00501,67.10257,0.0,0.0,0.0,0.0,0.0,0
32,1.6,1,0.0484,0.04043,0.05636,0.00247,3.22437,-10.47989,0.82948,0.03549,0.33885,1.22058,0.73406,0.66864,0.70135,0.02629,0.00558,67.27704,0.0,0.0,0.0,0.0,0.0,0
33,1.65,1,0.04292,0.0401,0.04574,0.002,3.19073,-10.50831,0.88306,0.03704,0.33648,1.21816,0.75221,0.65283,0.70252,0.02677,0.00574,67.2506,0.0,0.0,0.0,0.0,0.0,0
34,1.7,1,0.03734,0.03503,0.03966,0.0018,3.17322,-10.38475,0.92333,0.03907,0.33512,1.21622,0.76375,0.66047,0.71211,0.02241,0.0054,67.55273,0.0,0.0,0.0,0.0,0.0,0
35,1.75,1,0.03428,0.02778,0.04078,0.00184,3.15071,-10.31587,0.97825,0.04115,0.33197,1.21644,0.77008,0.67446,0.72227,0.02072,0.00496,68.02584,0.0,0.0,0.0,0.0,0.0,1
36,1.8,1,0.03512,0.02613,0.0441,0.00203,3.16261,-10.37653,0.97759,0.04166,0.32866,1.21465,0.76901,0.69485,0.73193,0.01883,0.00421,68.23402,0.0,0.0,0.0,0.0,0.0,0
37,1.85,1,0.03466,0.02532,0.04401,0.00222,3.10208,-10.25666,1.02976,0.04046,0.33004,1.21391,0.76635,0.69706,0.7317,0.01978,0.00434,68.31326,0.0,0.0,0.0,0.0,0.0,0
38,1.9,1,0.04614,0.03663,0.05565,0.00266,3.06187,-10.11882,1.12848,0.0418,0.33621,1.21829,0.75134,0.67658,0.71396,0.02281,0.00465,67.93171,0.0,0.0,0.0,0.0,0.0,0
39,1.95,1,0.05242,0.03864,0.06621,0.00306,2.99091,-10.04706,1.01575,0.04051,0.33623,1.21941,0.74297,0.66616,0.70457,0.02433,0.00493,67.92473,0.0,0.0,0.0,0.0,0.0,0
40,2.0,1,0.04932,0.03854,0.06011,0.00433,2.74031,-9.74374,1.09421,0.0379,0.33465,1.22469,0.76085,0.68818,0.72452,0.02197,0.00486,67.95346,0.0,0.0,0.0,0.0,0.0,1
41,2.05,1,0.05496,0.0397,0.07022,0.00276,2.64816,-9.77483,0.9154,0.03601,0.33716,1.22732,0.74554,0.68105,0.7133,0.02065,0.00449,67.90218,0.0,0.0,0.0,0.0,0.0,0
42,2.1,1,0.06488,0.05384,0.07593,0.00217,2.5357,-9.67112,0.85611,0.03387,0.33692,1.23317,0.74516,0.66752,0.70634,0.01963,0.00445,67.83161,0.0,0.0,0.0,0.0,0.0,0
43,2.15,1,0.14165,0.12361,0.15969,0.00283,2.69653,-10.06877,1.06623,0.0396,0.35662,1.22873,0.48573,0.4435,0.46461,0.03805,0.00996,64.9907,0.0,0.0,0.0,0.0,0.0,0
44,2.2,1,0.12362,0.10855,0.13869,0.0015,2.86726,-10.40229,1.25196,0.04047,0.35531,1.2243,0.5414,0.46535,0.50338,0.03769,0.0104,64.59234,0.0,0.0,0.0,0.0,0.0,0
45,2.25,1,0.0942,0.08503,0.10336,0.00189,3.16414,-11.15468,1.16185,0.03915,0.3435,1.21781,0.63326,0.51609,0.57468,0.0362,0.00854,65.15581,0.0,0.0,0.0,0.0,0.0,1
46,2.3,1,0.08048,0.0741,0.08685,0.00157,3.18073,-11.52202,1.13535,0.03863,0.33714,1.21556,0.66893,0.55168,0.6103,0.0347,0.00796,65.58485,0.0,0.0,0.0,0.0,0.0,0
47,2.35,1,0.08196,0.07385,0.09007,0.0022,3.0764,-11.68246,1.09876,0.03704,0.33518,1.21468,0.6633,0.55722,0.61026,0.03344,0.00729,65.71904,0.0,0.0,0.0,0.0,0.0,0
48,2.4,1,0.08095,0.07305,0.08885,0.00216,3.08108,-11.68505,1.08444,0.03612,0.33493,1.2144,0.66917,0.56764,0.61841,0.03273,0.0069,65.70352,0.0,0.0,0.0,0.0,0.0,0
49,2.45,1,0.07736,0.07129,0.08342,0.00257,3.06414,-11.73954,1.05895,0.03417,0.33396,1.21653,0.67511,0.57868,0.62689,0.03127,0.00713,65.86236,0.0,0.0,0.0,0.0,0.0,0
50,2.5,1,0.07987,0.07096,0.08878,0.00269,3.04732,-11.73536,1.06036,0.03417,0.33299,1.21651,0.66739,0.583,0.6252,0.03022,0.00698,65.86541,0.0,0.0,0.0,0.0,0.0,1
51,2.55,1,0.07724,0.06571,0.08877,0.00263,3.05328,-11.71745,1.07728,0.03422,0.3328,1.21712,0.67088,0.59948,0.63518,0.02853,0.0067,65.89767,0.0,0.0,0.0,0.0,0.0,0
52,2.6,1,0.07675,0.066,0.08751,0.00274,3.05,-11.72133,1.10522,0.0344,0.33294,1.21842,0.67774,0.59747,0.6376,0.02857,0.00657,65.90397,0.0,0.0,0.0,0.0,0.0,0
53,2.65,1,0.07351,0.063,0.08402,0.0028,3.03628,-11.67086,1.12264,0.03559,0.33288,1.21743,0.68691,0.60015,0.64353,0.02858,0.00665,65.84475,0.0,0.0,0.0,0.0,0.0,0
54,2.7,1,0.07074,0.06068,0.0808,0.00268,3.05988,-11.60151,1.13698,0.03642,0.33171,1.21582,0.68863,0.60178,0.64521,0.02798,0.00658,66.05184,0.0,0.0,0.0,0.0,0.0,0
55,2.75,1,0.0668,0.05812,0.07549,0.00277,3.078,-11.60007,1.1244,0.0361,0.32936,1.21469,0.69845,0.60974,0.6541,0.02738,0.00628,66.31607,0.0,0.0,0.0,0.0,0.0,1
56,2.8,1,0.06618,0.05698,0.07539,0.00275,3.0684,-11.67281,1.17357,0.03646,0.3286,1.21605,0.70077,0.61429,0.65753,0.02762,0.00641,66.34729,0.0,0.0,0.0,0.0,0.0,0
57,2.85,1,0.0625,0.04864,0.07635,0.00285,3.00522,-11.87187,1.26256,0.03798,0.32508,1.21709,0.70319,0.63616,0.66968,0.02732,0.00612,66.46856,0.0,0.0,0.0,0.0,0.0,0
58,2.9,1,0.06042,0.04712,0.07371,0.00292,2.97073,-11.85343,1.26995,0.03777,0.32272,1.2167,0.7114,0.6385,0.67495,0.02679,0.00598,66.5938,0.0,0.0,0.0,0.0,0.0,0
59,2.95,1,0.06435,0.05005,0.07865,0.00291,2.96262,-11.894,1.22874,0.03765,0.32185,1.21575,0.70516,0.63591,0.67054,0.02653,0.00582,66.53542,0.0,0.0,0.0,0.0,0.0,0
60,3.0,1,0.06346,0.04924,0.07769,0.00302,2.93778,-11.88749,1.19497,0.03688,0.31977,1.21519,0.70982,0.64388,0.67685,0.02538,0.00541,66.69338,0.0,0.0,0.0,0.0,0.0,1
61,3.05,1,0.06527,0.05305,0.0775,0.00295,2.97192,-11.82255,1.18762,0.03788,0.32096,1.21575,0.7111,0.645,0.67805,0.0247,0.00488,66.76058,0.0,0.0,0.0,0.0,0.0,0
62,3.1,1,0.05975,0.05371,0.06579,0.00359,2.95566,-11.76808,1.12848,0.03591,0.31977,1.21444,0.73223,0.64563,0.68893,0.02469,0.00451,67.22954,0.0,0.0,0.0,0.0,0.0,0
63,3.15,1,0.05037,0.04809,0.05264,0.00219,3.12717,-11.62894,1.05094,0.04029,0.3172,1.21692,0.7579,0.6696,0.71375,0.02073,0.00343,67.86056,0.0,0.0,0.0,0.0,0.0,0
64,3.2,1,0.05124,0.04686,0.05563,0.00198,3.36052,-11.35926,0.99688,0.04664,0.32072,1.21735,0.75314,0.66628,0.70971,0.01944,0.00313,67.90085,0.0,0.0,0.0,0.0,0.0,0
65,3.25,1,0.05855,0.04776,0.06933,0.00191,3.33328,-11.33581,0.95393,0.04532,0.32243,1.21704,0.73984,0.66452,0.70218,0.021,0.00384,67.43482,0.0,0.0,0.0,0.0,0.0,1
66,3.3,1,0.0666,0.05162,0.08157,0.00196,3.42592,-11.39728,0.85681,0.04737,0.32109,1.21715,0.72546,0.659,0.69223,0.01948,0.00367,67.30902,0.0,0.0,0.0,0.0,0.0,0
67,3.35,1,0.06428,0.05088,0.07768,0.00192,3.46113,-11.29147,0.78025,0.04354,0.3245,1.21613,0.72685,0.65519,0.69102,0.02015,0.00388,67.21277,0.0,0.0,0.0,0.0,0.0,0
68,3.4,1,0.06731,0.05456,0.08005,0.00196,3.4934,-11.31149,0.74119,0.04205,0.32819,1.2168,0.7172,0.64602,0.68161,0.02273,0.00452,66.74839,0.0,0.0,0.0,0.0,0.0,0
69,3.45,1,0.0667,0.05375,0.07965,0.0015,3.48751,-11.3434,0.71172,0.04198,0.32742,1.21875,0.71412,0.64735,0.68073,0.02188,0.00454,66.78171,0.0,0.0,0.0,0.0,0.0,0
70,3.5,1,0.06157,0.05441,0.06874,0.00122,3.48472,-11.34223,0.68192,0.04183,0.32599,1.2174,0.73642,0.64671,0.69156,0.02107,0.0043,66.831,0.0,0.0,0.0,0.0,0.0,1
71,3.55,1,0.06038,0.05395,0.06681,0.00142,3.45321,-11.07534,0.75166,0.04136,0.32796,1.21971,0.73392,0.66044,0.69718,0.02175,0.00416,66.90349,0.0,0.0,0.0,0.0,0.0,0
72,3.6,1,0.06121,0.05312,0.0693,0.00179,3.32521,-10.98177,0.76941,0.03656,0.32788,1.21832,0.72857,0.66622,0.69739,0.02312,0.00424,66.92529,0.0,0.0,0.0,0.0,0.0,0
73,3.65,1,0.06157,0.05411,0.06903,0.00229,3.25268,-10.7682,0.87461,0.03527,0.32903,1.21531,0.72529,0.67361,0.69945,0.02393,0.00411,67.02616,0.0,0.0,0.0,0.0,0.0,0
74,3.7,1,0.05922,0.04985,0.06858,0.00268,3.22308,-10.58636,0.9163,0.03527,0.33279,1.21854,0.72045,0.67133,0.69589,0.02499,0.00502,67.0962,0.0,0.0,0.0,0.0,0.0,0
75,3.75,1,0.04846,0.04057,0.05635,0.00246,3.22394,-10.47174,0.83251,0.03555,0.33895,1.22061,0.73478,0.66837,0.70157,0.02612,0.00554,67.2783,0.0,0.0,0.0,0.0,0.0,1
76,3.8,1,0.04246,0.03981,0.04512,0.00202,3.19455,-10.50512,0.88109,0.03715,0.33649,1.21817,0.7534,0.65314,0.70327,0.0267,0.00573,67.26096,0.0,0.0,0.0,0.0,0.0,0
77,3.85,1,0.03687,0.03442,0.03933,0.00184,3.17571,-10.37143,0.92006,0.03914,0.33535,1.21635,0.76397,0.66154,0.71276,0.02244,0.00542,67.55658,0.0,0.0,0.0,0.0,0.0,0
